dataset,stem,n_residues,model,mode,predictor,neff_tier,fold_verdict,seq_leakage,msa_neff,length,range,cut,precision,n_candidate,n_true,n_top,eval_set
afdb,AF-A0A7S3HIW0-F1,363,sparsa,single_seq,pair_network,,,,,,long,AUC,0.9288204956817385,57630,166,57630,teacher-fit
afdb,AF-A0A482VJS1-F1,218,sparsa,single_seq,pair_network,,,,,,all,L,0.10091743119266056,22578,146,218,teacher-fit
afdb,AF-A0A482VJS1-F1,218,sparsa,single_seq,pair_network,,,,,,all,L/2,0.13761467889908258,22578,146,109,teacher-fit
afdb,AF-A0A482VJS1-F1,218,sparsa,single_seq,pair_network,,,,,,all,L/5,0.18604651162790697,22578,146,43,teacher-fit
afdb,AF-A0A482VJS1-F1,218,sparsa,single_seq,pair_network,,,,,,all,R,0.1232876712328767,22578,146,146,teacher-fit
afdb,AF-A0A482VJS1-F1,218,sparsa,single_seq,pair_network,,,,,,all,AUC,0.8028167014343501,22578,146,22578,teacher-fit
afdb,AF-A0A482VJS1-F1,218,sparsa,single_seq,pair_network,,,,,,short,L,0.045871559633027525,1257,19,218,teacher-fit
afdb,AF-A0A482VJS1-F1,218,sparsa,single_seq,pair_network,,,,,,short,L/2,0.06422018348623854,1257,19,109,teacher-fit
afdb,AF-A0A482VJS1-F1,218,sparsa,single_seq,pair_network,,,,,,short,L/5,0.11627906976744186,1257,19,43,teacher-fit
afdb,AF-A0A482VJS1-F1,218,sparsa,single_seq,pair_network,,,,,,short,R,0.21052631578947367,1257,19,19,teacher-fit
afdb,AF-A0A482VJS1-F1,218,sparsa,single_seq,pair_network,,,,,,short,AUC,0.7897287645608367,1257,19,1257,teacher-fit
afdb,AF-A0A482VJS1-F1,218,sparsa,single_seq,pair_network,,,,,,medium,L,0.08256880733944955,2406,32,218,teacher-fit
afdb,AF-A0A482VJS1-F1,218,sparsa,single_seq,pair_network,,,,,,medium,L/2,0.11926605504587157,2406,32,109,teacher-fit
afdb,AF-A0A482VJS1-F1,218,sparsa,single_seq,pair_network,,,,,,medium,L/5,0.13953488372093023,2406,32,43,teacher-fit
afdb,AF-A0A482VJS1-F1,218,sparsa,single_seq,pair_network,,,,,,medium,R,0.15625,2406,32,32,teacher-fit
afdb,AF-A0A482VJS1-F1,218,sparsa,single_seq,pair_network,,,,,,medium,AUC,0.8296717038753159,2406,32,2406,teacher-fit
afdb,AF-A0A482VJS1-F1,218,sparsa,single_seq,pair_network,,,,,,long,L,0.05963302752293578,18915,95,218,teacher-fit
afdb,AF-A0A482VJS1-F1,218,sparsa,single_seq,pair_network,,,,,,long,L/2,0.09174311926605505,18915,95,109,teacher-fit
afdb,AF-A0A482VJS1-F1,218,sparsa,single_seq,pair_network,,,,,,long,L/5,0.09302325581395349,18915,95,43,teacher-fit
afdb,AF-A0A482VJS1-F1,218,sparsa,single_seq,pair_network,,,,,,long,R,0.10526315789473684,18915,95,95,teacher-fit
afdb,AF-A0A482VJS1-F1,218,sparsa,single_seq,pair_network,,,,,,long,AUC,0.7790927904245204,18915,95,18915,teacher-fit
afdb,AF-A0A2J7PLK6-F1,448,sparsa,single_seq,pair_network,,,,,,all,L,0.43080357142857145,97903,479,448,teacher-fit
afdb,AF-A0A2J7PLK6-F1,448,sparsa,single_seq,pair_network,,,,,,all,L/2,0.5446428571428571,97903,479,224,teacher-fit
afdb,AF-A0A2J7PLK6-F1,448,sparsa,single_seq,pair_network,,,,,,all,L/5,0.6853932584269663,97903,479,89,teacher-fit
afdb,AF-A0A2J7PLK6-F1,448,sparsa,single_seq,pair_network,,,,,,all,R,0.407098121085595,97903,479,479,teacher-fit
afdb,AF-A0A2J7PLK6-F1,448,sparsa,single_seq,pair_network,,,,,,all,AUC,0.9728154247143366,97903,479,97903,teacher-fit
afdb,AF-A0A2J7PLK6-F1,448,sparsa,single_seq,pair_network,,,,,,short,L,0.20982142857142858,2637,95,448,teacher-fit
afdb,AF-A0A2J7PLK6-F1,448,sparsa,single_seq,pair_network,,,,,,short,L/2,0.35714285714285715,2637,95,224,teacher-fit
afdb,AF-A0A2J7PLK6-F1,448,sparsa,single_seq,pair_network,,,,,,short,L/5,0.5955056179775281,2637,95,89,teacher-fit
afdb,AF-A0A2J7PLK6-F1,448,sparsa,single_seq,pair_network,,,,,,short,R,0.5894736842105263,2637,95,95,teacher-fit
afdb,AF-A0A2J7PLK6-F1,448,sparsa,single_seq,pair_network,,,,,,short,AUC,0.9728663712783139,2637,95,2637,teacher-fit
afdb,AF-A0A2J7PLK6-F1,448,sparsa,single_seq,pair_network,,,,,,medium,L,0.22767857142857142,5166,141,448,teacher-fit
afdb,AF-A0A2J7PLK6-F1,448,sparsa,single_seq,pair_network,,,,,,medium,L/2,0.375,5166,141,224,teacher-fit
afdb,AF-A0A2J7PLK6-F1,448,sparsa,single_seq,pair_network,,,,,,medium,L/5,0.5393258426966292,5166,141,89,teacher-fit
afdb,AF-A0A2J7PLK6-F1,448,sparsa,single_seq,pair_network,,,,,,medium,R,0.46099290780141844,5166,141,141,teacher-fit
afdb,AF-A0A2J7PLK6-F1,448,sparsa,single_seq,pair_network,,,,,,medium,AUC,0.9373190783670301,5166,141,5166,teacher-fit
afdb,AF-A0A2J7PLK6-F1,448,sparsa,single_seq,pair_network,,,,,,long,L,0.1875,90100,243,448,teacher-fit
afdb,AF-A0A2J7PLK6-F1,448,sparsa,single_seq,pair_network,,,,,,long,L/2,0.26339285714285715,90100,243,224,teacher-fit
afdb,AF-A0A2J7PLK6-F1,448,sparsa,single_seq,pair_network,,,,,,long,L/5,0.4157303370786517,90100,243,89,teacher-fit
afdb,AF-A0A2J7PLK6-F1,448,sparsa,single_seq,pair_network,,,,,,long,R,0.25102880658436216,90100,243,243,teacher-fit
afdb,AF-A0A2J7PLK6-F1,448,sparsa,single_seq,pair_network,,,,,,long,AUC,0.9649753739950138,90100,243,90100,teacher-fit
afdb,AF-A0A5E4IK31-F1,344,sparsa,single_seq,pair_network,,,,,,all,L,0.25872093023255816,57291,371,344,teacher-fit
afdb,AF-A0A5E4IK31-F1,344,sparsa,single_seq,pair_network,,,,,,all,L/2,0.4011627906976744,57291,371,172,teacher-fit
afdb,AF-A0A5E4IK31-F1,344,sparsa,single_seq,pair_network,,,,,,all,L/5,0.5735294117647058,57291,371,68,teacher-fit
afdb,AF-A0A5E4IK31-F1,344,sparsa,single_seq,pair_network,,,,,,all,R,0.24797843665768193,57291,371,371,teacher-fit
afdb,AF-A0A5E4IK31-F1,344,sparsa,single_seq,pair_network,,,,,,all,AUC,0.9262398353578958,57291,371,57291,teacher-fit
afdb,AF-A0A5E4IK31-F1,344,sparsa,single_seq,pair_network,,,,,,short,L,0.0872093023255814,2013,40,344,teacher-fit
afdb,AF-A0A5E4IK31-F1,344,sparsa,single_seq,pair_network,,,,,,short,L/2,0.11046511627906977,2013,40,172,teacher-fit
afdb,AF-A0A5E4IK31-F1,344,sparsa,single_seq,pair_network,,,,,,short,L/5,0.1323529411764706,2013,40,68,teacher-fit
afdb,AF-A0A5E4IK31-F1,344,sparsa,single_seq,pair_network,,,,,,short,R,0.2,2013,40,40,teacher-fit
afdb,AF-A0A5E4IK31-F1,344,sparsa,single_seq,pair_network,,,,,,short,AUC,0.8840408008109478,2013,40,2013,teacher-fit
afdb,AF-A0A5E4IK31-F1,344,sparsa,single_seq,pair_network,,,,,,medium,L,0.14534883720930233,3918,86,344,teacher-fit
afdb,AF-A0A5E4IK31-F1,344,sparsa,single_seq,pair_network,,,,,,medium,L/2,0.23255813953488372,3918,86,172,teacher-fit
afdb,AF-A0A5E4IK31-F1,344,sparsa,single_seq,pair_network,,,,,,medium,L/5,0.4411764705882353,3918,86,68,teacher-fit
afdb,AF-A0A5E4IK31-F1,344,sparsa,single_seq,pair_network,,,,,,medium,R,0.3488372093023256,3918,86,86,teacher-fit
afdb,AF-A0A5E4IK31-F1,344,sparsa,single_seq,pair_network,,,,,,medium,AUC,0.9005908020585521,3918,86,3918,teacher-fit
afdb,AF-A0A5E4IK31-F1,344,sparsa,single_seq,pair_network,,,,,,long,L,0.18895348837209303,51360,245,344,teacher-fit
afdb,AF-A0A5E4IK31-F1,344,sparsa,single_seq,pair_network,,,,,,long,L/2,0.28488372093023256,51360,245,172,teacher-fit
afdb,AF-A0A5E4IK31-F1,344,sparsa,single_seq,pair_network,,,,,,long,L/5,0.4852941176470588,51360,245,68,teacher-fit
afdb,AF-A0A5E4IK31-F1,344,sparsa,single_seq,pair_network,,,,,,long,R,0.24489795918367346,51360,245,245,teacher-fit
afdb,AF-A0A5E4IK31-F1,344,sparsa,single_seq,pair_network,,,,,,long,AUC,0.9198670065698196,51360,245,51360,teacher-fit
afdb,AF-A0A482SGM5-F1,177,sparsa,single_seq,pair_network,,,,,,all,L,0.096045197740113,14706,37,177,teacher-fit
afdb,AF-A0A482SGM5-F1,177,sparsa,single_seq,pair_network,,,,,,all,L/2,0.17045454545454544,14706,37,88,teacher-fit
afdb,AF-A0A482SGM5-F1,177,sparsa,single_seq,pair_network,,,,,,all,L/5,0.4,14706,37,35,teacher-fit
afdb,AF-A0A482SGM5-F1,177,sparsa,single_seq,pair_network,,,,,,all,R,0.3783783783783784,14706,37,37,teacher-fit
afdb,AF-A0A482SGM5-F1,177,sparsa,single_seq,pair_network,,,,,,all,AUC,0.9611020114121894,14706,37,14706,teacher-fit
afdb,AF-A0A482SGM5-F1,177,sparsa,single_seq,pair_network,,,,,,short,L,0.0903954802259887,1011,17,177,teacher-fit
afdb,AF-A0A482SGM5-F1,177,sparsa,single_seq,pair_network,,,,,,short,L/2,0.11363636363636363,1011,17,88,teacher-fit
afdb,AF-A0A482SGM5-F1,177,sparsa,single_seq,pair_network,,,,,,short,L/5,0.2571428571428571,1011,17,35,teacher-fit
afdb,AF-A0A482SGM5-F1,177,sparsa,single_seq,pair_network,,,,,,short,R,0.47058823529411764,1011,17,17,teacher-fit
afdb,AF-A0A482SGM5-F1,177,sparsa,single_seq,pair_network,,,,,,short,AUC,0.946857616285951,1011,17,1011,teacher-fit
afdb,AF-A0A482SGM5-F1,177,sparsa,single_seq,pair_network,,,,,,medium,L,0.05084745762711865,1914,17,177,teacher-fit
afdb,AF-A0A482SGM5-F1,177,sparsa,single_seq,pair_network,,,,,,medium,L/2,0.07954545454545454,1914,17,88,teacher-fit
afdb,AF-A0A482SGM5-F1,177,sparsa,single_seq,pair_network,,,,,,medium,L/5,0.17142857142857143,1914,17,35,teacher-fit
afdb,AF-A0A482SGM5-F1,177,sparsa,single_seq,pair_network,,,,,,medium,R,0.35294117647058826,1914,17,17,teacher-fit
afdb,AF-A0A482SGM5-F1,177,sparsa,single_seq,pair_network,,,,,,medium,AUC,0.8828800893050948,1914,17,1914,teacher-fit
afdb,AF-A0A482SGM5-F1,177,sparsa,single_seq,pair_network,,,,,,long,L,0.005649717514124294,11781,3,177,teacher-fit
afdb,AF-A0A482SGM5-F1,177,sparsa,single_seq,pair_network,,,,,,long,L/2,0.0,11781,3,88,teacher-fit
afdb,AF-A0A482SGM5-F1,177,sparsa,single_seq,pair_network,,,,,,long,L/5,0.0,11781,3,35,teacher-fit
afdb,AF-A0A482SGM5-F1,177,sparsa,single_seq,pair_network,,,,,,long,R,0.0,11781,3,3,teacher-fit
afdb,AF-A0A482SGM5-F1,177,sparsa,single_seq,pair_network,,,,,,long,AUC,0.9580007924378785,11781,3,11781,teacher-fit
afdb,AF-A0A6L5K183-F1,234,sparsa,single_seq,pair_network,,,,,,all,L,0.23504273504273504,26106,189,234,teacher-fit
afdb,AF-A0A6L5K183-F1,234,sparsa,single_seq,pair_network,,,,,,all,L/2,0.3333333333333333,26106,189,117,teacher-fit
afdb,AF-A0A6L5K183-F1,234,sparsa,single_seq,pair_network,,,,,,all,L/5,0.5434782608695652,26106,189,46,teacher-fit
afdb,AF-A0A6L5K183-F1,234,sparsa,single_seq,pair_network,,,,,,all,R,0.2751322751322751,26106,189,189,teacher-fit
afdb,AF-A0A6L5K183-F1,234,sparsa,single_seq,pair_network,,,,,,all,AUC,0.9274428767618567,26106,189,26106,teacher-fit
afdb,AF-A0A6L5K183-F1,234,sparsa,single_seq,pair_network,,,,,,short,L,0.13247863247863248,1353,32,234,teacher-fit
afdb,AF-A0A6L5K183-F1,234,sparsa,single_seq,pair_network,,,,,,short,L/2,0.20512820512820512,1353,32,117,teacher-fit
afdb,AF-A0A6L5K183-F1,234,sparsa,single_seq,pair_network,,,,,,short,L/5,0.2826086956521739,1353,32,46,teacher-fit
afdb,AF-A0A6L5K183-F1,234,sparsa,single_seq,pair_network,,,,,,short,R,0.375,1353,32,32,teacher-fit
afdb,AF-A0A6L5K183-F1,234,sparsa,single_seq,pair_network,,,,,,short,AUC,0.9516464799394397,1353,32,1353,teacher-fit
afdb,AF-A0A6L5K183-F1,234,sparsa,single_seq,pair_network,,,,,,medium,L,0.10683760683760683,2598,41,234,teacher-fit
afdb,AF-A0A6L5K183-F1,234,sparsa,single_seq,pair_network,,,,,,medium,L/2,0.18803418803418803,2598,41,117,teacher-fit
afdb,AF-A0A6L5K183-F1,234,sparsa,single_seq,pair_network,,,,,,medium,L/5,0.34782608695652173,2598,41,46,teacher-fit
afdb,AF-A0A6L5K183-F1,234,sparsa,single_seq,pair_network,,,,,,medium,R,0.36585365853658536,2598,41,41,teacher-fit
afdb,AF-A0A6L5K183-F1,234,sparsa,single_seq,pair_network,,,,,,medium,AUC,0.888980035674428,2598,41,2598,teacher-fit
afdb,AF-A0A6L5K183-F1,234,sparsa,single_seq,pair_network,,,,,,long,L,0.1752136752136752,22155,116,234,teacher-fit
afdb,AF-A0A6L5K183-F1,234,sparsa,single_seq,pair_network,,,,,,long,L/2,0.23931623931623933,22155,116,117,teacher-fit
afdb,AF-A0A6L5K183-F1,234,sparsa,single_seq,pair_network,,,,,,long,L/5,0.30434782608695654,22155,116,46,teacher-fit
afdb,AF-A0A6L5K183-F1,234,sparsa,single_seq,pair_network,,,,,,long,R,0.2413793103448276,22155,116,116,teacher-fit
afdb,AF-A0A6L5K183-F1,234,sparsa,single_seq,pair_network,,,,,,long,AUC,0.9221139719400248,22155,116,22155,teacher-fit
afdb,AF-A0A2R6XLR4-F1,257,sparsa,single_seq,pair_network,,,,,,all,L,0.1517509727626459,31626,136,257,teacher-fit
afdb,AF-A0A2R6XLR4-F1,257,sparsa,single_seq,pair_network,,,,,,all,L/2,0.2265625,31626,136,128,teacher-fit
afdb,AF-A0A2R6XLR4-F1,257,sparsa,single_seq,pair_network,,,,,,all,L/5,0.3333333333333333,31626,136,51,teacher-fit
afdb,AF-A0A2R6XLR4-F1,257,sparsa,single_seq,pair_network,,,,,,all,R,0.21323529411764705,31626,136,136,teacher-fit
afdb,AF-A0A2R6XLR4-F1,257,sparsa,single_seq,pair_network,,,,,,all,AUC,0.9374576195991258,31626,136,31626,teacher-fit
afdb,AF-A0A2R6XLR4-F1,257,sparsa,single_seq,pair_network,,,,,,short,L,0.0933852140077821,1491,31,257,teacher-fit
afdb,AF-A0A2R6XLR4-F1,257,sparsa,single_seq,pair_network,,,,,,short,L/2,0.1875,1491,31,128,teacher-fit
afdb,AF-A0A2R6XLR4-F1,257,sparsa,single_seq,pair_network,,,,,,short,L/5,0.29411764705882354,1491,31,51,teacher-fit
afdb,AF-A0A2R6XLR4-F1,257,sparsa,single_seq,pair_network,,,,,,short,R,0.2903225806451613,1491,31,31,teacher-fit
afdb,AF-A0A2R6XLR4-F1,257,sparsa,single_seq,pair_network,,,,,,short,AUC,0.8965311533362792,1491,31,1491,teacher-fit
afdb,AF-A0A2R6XLR4-F1,257,sparsa,single_seq,pair_network,,,,,,medium,L,0.08560311284046693,2874,27,257,teacher-fit
afdb,AF-A0A2R6XLR4-F1,257,sparsa,single_seq,pair_network,,,,,,medium,L/2,0.125,2874,27,128,teacher-fit
afdb,AF-A0A2R6XLR4-F1,257,sparsa,single_seq,pair_network,,,,,,medium,L/5,0.21568627450980393,2874,27,51,teacher-fit
afdb,AF-A0A2R6XLR4-F1,257,sparsa,single_seq,pair_network,,,,,,medium,R,0.25925925925925924,2874,27,27,teacher-fit
afdb,AF-A0A2R6XLR4-F1,257,sparsa,single_seq,pair_network,,,,,,medium,AUC,0.9459079733052336,2874,27,2874,teacher-fit
afdb,AF-A0A2R6XLR4-F1,257,sparsa,single_seq,pair_network,,,,,,long,L,0.042801556420233464,27261,78,257,teacher-fit
afdb,AF-A0A2R6XLR4-F1,257,sparsa,single_seq,pair_network,,,,,,long,L/2,0.0546875,27261,78,128,teacher-fit
